Serial,EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberofEngines,EngineType,FARDescription,Schedule,PurposeofFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseofFlight,ReportStatus,PublicationDate,Random
794,20190711X41957,Accident,GAA19CA402,7/11/2019,"Talkeetna, AK",North America,62.319445,-150.113333,AK44,TALKEETNA VILLAGE STRIP,Non-Fatal,Substantial,Airplane,N91299,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,12/2/2019,0.252021434
796,20190712X24035,Accident,CEN19LA220,7/11/2019,"Wheeling, IL",North America,42.134722,-87.891666,PWK,Chicago Executive Airport,Non-Fatal,Substantial,Airplane,N83BA,Icon,A-5,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Preliminary,8/1/2019,0.82942289
797,20190711X60234,Accident,CEN19FA218,7/11/2019,"Hawley, MN",North America,46,-96,04Y,Hawley Municipal,Fatal(1),Destroyed,Gyroplane,N14968,GIbb,AR-1,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,MANEUVERING,Preliminary,7/15/2019,0.929494166
798,20190711X23056,Accident,ANC19FA033,7/11/2019,"Ketchikan, AK",North America,55.299166,-131.6325,KTN,Ketchikan Intl,Fatal(1),Substantial,Airplane,N5840P,Piper,PA 24-180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,UNK,APPROACH,Preliminary,8/1/2019,0.560748984
800,20190713X90722,Accident,GAA19CA467,7/12/2019,"Orlando, FL",North America,28.546111,-81.332223,ORL,EXECUTIVE,Non-Fatal,Substantial,Airplane,N262BK,Cessna,525,No,2,Turbo Fan,Part 91: General Aviation,,Personal,,,,,3,VMC,APPROACH,Factual,10/17/2019,0.590670298
801,20190712X54743,Accident,GAA19CA408,7/12/2019,"Hamilton, MT",North America,46.251389,-114.125556,6S5,Ravalli County,Non-Fatal,Substantial,Airplane,N7409K,Piper,PA 20,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,LANDING,Probable Cause,12/2/2019,0.01115352
802,20190729X85828,Accident,ERA19WA237,7/12/2019,"Atibaia, South America",South America,-23.234444,-46.690555,,N/A,Fatal(2),Substantial,Airplane,,PIPER,PA28,No,1,Reciprocating,"Non-U.S., Non-Commercial",,Personal,,2,,,,,CRUISE,Foreign,,0.603346433
804,20190714X00745,Accident,WPR19LA194,7/13/2019,"Mosby, MT",North America,47.040833,-107.660556,,N/A,Non-Fatal,Substantial,Helicopter,N3078G,BELL,47G 3B 1,No,,Turbo Shaft,Part 91: General Aviation,,Aerial Observation,,,2,1,,VMC,LANDING,Preliminary,8/7/2019,0.596313646
805,20190722X05536,Accident,GAA19WA442,7/13/2019,"Enconada, Bolivia",South America,-17.746111,-62.922223,,N/A,Fatal(2),Substantial,Airplane,,STEEN,Skybolt,Yes,,,"Non-U.S., Non-Commercial",,,,2,,,,VMC,,Foreign,,0.156944655
806,20190715X02154,Accident,GAA19CA409,7/13/2019,"Denver, CO",North America,39.905,-105.114167,BJC,ROCKY MOUNTAIN METROPOLITAN,Non-Fatal,Substantial,Airplane,N388JP,Diamond,DA 40,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,GO-AROUND,Probable Cause,12/2/2019,0.984757188
807,20190713X65021,Accident,ERA19LA226,7/13/2019,"Summit, SC",North America,33.935833,-81.430834,24SC,The Farm Airport,Non-Fatal,Substantial,Airplane,N3886V,Cessna,120,No,1,,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Preliminary,8/12/2019,0.168055694
808,20190713X95619,Accident,ERA19LA224,7/13/2019,"Carlisle, PA",North America,40.187777,-77.169445,N94,Carlisle,Non-Fatal,Substantial,Airplane,N601MR,Zenith,CH601,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,10/28/2019,0.839474717
809,20190713X01105,Accident,ERA19FA225,7/13/2019,"Oliver Springs, TN",North America,36.040555,-84.306111,TN08,Oliver Springs Inc,Fatal(1),Substantial,Airplane,N3889Z,QUICKSILVER,MXII,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Preliminary,7/24/2019,0.907683594
810,20190715X00050,Accident,CEN19LA222,7/13/2019,"Clinton, AR",North America,35.599166,-92.456667,CCA,Clinton Muni,Non-Fatal,Substantial,Airplane,N9651K,Stinson,108,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,1,,VMC,TAKEOFF,Preliminary,9/4/2019,0.794917223
811,20190713X34059,Accident,CEN19FA221,7/13/2019,"Katy, TX",North America,29.775,-95.721945,,N/A,Fatal(1),Destroyed,Airplane,N517LA,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,7/25/2019,0.018465714
812,20190715X31535,Accident,WPR19LA190,7/14/2019,"Cascade, ID",North America,44.536666,-115.350833,ID74,Sulphur Creek Ranch,Non-Fatal,Substantial,Airplane,N131DV,Cessna,P206,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,TAKEOFF,Preliminary,8/21/2019,0.158128184
813,20190716X13403,Accident,GAA19WA420,7/14/2019,"Umea, Sweden",Europe,63.77,20.316389,,,Fatal(9),Destroyed,Airplane,,AIRvan,GA8,No,,,"Non-U.S., Non-Commercial",,,,9,,,,,TAKEOFF,Foreign,,0.602568317
814,20190722X74031,Accident,GAA19CA447,7/14/2019,"Sparks, NV",North America,39.868056,-119.710278,NV23,AIR SAILING,Non-Fatal,Substantial,Glider,N821W,Biuro Projektowe B Bogumil Ber,SZD-56-2,No,0,,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,10/17/2019,0.422265547
815,20190714X02647,Accident,GAA19CA412,7/14/2019,"Elkton, FL",North America,29.901111,-81.3125,,N/A,Non-Fatal,Substantial,Airplane,N35585,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,LANDING,Factual,12/3/2019,0.965173712
816,20190715X33753,Accident,GAA19CA411,7/14/2019,"San Diego, CA",North America,32.815833,-117.139444,MYF,Montgomery-Gibbs Executive,Unavailable,Substantial,Airplane,N92628,Piper,J3C,No,,,Part 91: General Aviation,,,,,,,,,,Preliminary,7/23/2019,0.713587035
817,20190714X02348,Accident,ERA19LA227,7/14/2019,"Hastings, FL",North America,29.693333,-81.506944,13FA,EARLE AIRPARK,Non-Fatal,Substantial,Airplane,N7833D,Piper,PA22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,TAKEOFF,Preliminary,7/25/2019,0.754734039
818,20190715X23000,Accident,CEN19LA225,7/14/2019,"Knox, IN",North America,41.294166,-86.6225,IG05,Wheeler,Non-Fatal,Substantial,Airplane,N2863J,Cessna,T188,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,1,,,VMC,MANEUVERING,Factual,9/25/2019,0.656830976
819,20190715X05519,Accident,CEN19LA224,7/14/2019,"Osceola, WI",North America,45.31,-92.69,OEO,L O Simenstad Muni,Non-Fatal,Substantial,Airplane,N6983B,Piper,PA18,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Preliminary,8/28/2019,0.310542428
821,20190729X43816,Accident,ANC19WA041,7/14/2019,"Moscow, Russia",Asia,56.105,46.146944,,,Fatal(2),Destroyed,Helicopter,,ROBINSON,R22,,,Reciprocating,"Non-U.S., Non-Commercial",,,,2,,,,,TAKEOFF,Foreign,,0.425097623
823,20190715X91456,Accident,WPR19FA188,7/15/2019,"Hayward, CA",North America,37.655833,-122.123611,HWD,Hayward Executive,Fatal(1),Substantial,Helicopter,N144TG,Robinson,R44,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,1,1,,,VMC,MANEUVERING,Preliminary,7/24/2019,0.037185671
825,20190807X92142,Accident,GAA19CA487,7/15/2019,"Bison, SD",North America,45.518334,-102.467778,6V5,Bison Muni,Non-Fatal,Substantial,Airplane,N2946D,Cessna,170,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,10/22/2019,0.369121421
828,20190715X52759,Accident,GAA19CA416,7/15/2019,"York, SC",North America,35.029167,-81.2525,01SC,YORK,Non-Fatal,Substantial,Airplane,N987TW,Thomas Wild,AVID,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Probable Cause,12/2/2019,0.013269695
829,20190716X73305,Accident,WPR19LA189,7/16/2019,"Aumsville, OR",North America,44.8875,-122.871945,,,Non-Fatal,Destroyed,Airplane,N365EM,Vans,RV14,Yes,,,Part 91: General Aviation,,Personal,,,1,,,,,Preliminary,7/25/2019,0.58869431
830,20190717X03502,Accident,GAA19CA428,7/16/2019,"Council Bluff, IA",North America,41.234444,-95.746389,,N/A,Non-Fatal,Substantial,Helicopter,N124LA,Robinson,R44,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,TAKEOFF,Factual,1/15/2020,0.290907355
831,20190716X74232,Accident,GAA19CA425,7/16/2019,"Brownville, ME",North America,45.336111,-69.050833,ME03,Webber Jones,Unavailable,Substantial,Airplane,N75561,AEROS LTD,SKYRANGER,No,1,,Part 91: General Aviation,,Personal,,,,,,,,Preliminary,7/30/2019,0.013952195
832,20190716X43124,Accident,GAA19CA424,7/16/2019,"Grand Canyon, AZ",North America,35.946666,-112.153333,GCN,GRAND CANYON NATIONAL PARK,Non-Fatal,Substantial,Airplane,N1079M,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,4,VMC,LANDING,Probable Cause,12/2/2019,0.229648074
833,20190716X33934,Accident,GAA19CA423,7/16/2019,"Salmon, ID",North America,44.968056,-114.732778,12ID,Flying B Ranch Landing Strip,Non-Fatal,Substantial,Airplane,N4876N,Cessna,182,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,3,VMC,LANDING,Factual,9/17/2019,0.394280621
834,20190716X81806,Accident,ERA19LA229,7/16/2019,"Crescent, FL",North America,29.43,-81.604167,FD44,Eagles Nest Aerodrome,Non-Fatal,Substantial,Airplane,N632FG,Progressive Aerodyne,SEAREY,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,LANDING,Preliminary,8/5/2019,0.019018459
835,20190716X55113,Accident,ERA19LA228,7/16/2019,"Gainesboro, TN",North America,36.395833,-85.641389,1A7,Jackson County,Non-Fatal,Substantial,Airplane,N973BP,PIETENPOL,BIG PIET,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Preliminary,8/22/2019,0.997938211
836,20190720X65807,Accident,CEN19LA226,7/16/2019,"Detroit Lakes, MN",North America,46.833056,-95.893889,DTL,Detroit Lakes-Wething Field,Non-Fatal,Substantial,Airplane,N61SC,CASHEN,Super Acro Sport,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,APPROACH,Preliminary,7/29/2019,0.056489848
837,20190717X83445,Accident,ANC19LA034,7/16/2019,"Ocean City, MD",North America,38.338889,-75.061667,,,Non-Fatal,Substantial,Airplane,N9715B,Cessna,172RG,No,1,Reciprocating,Part 91: General Aviation,,Aerial Observation,,,,,1,VMC,MANEUVERING,Preliminary,8/6/2019,0.046899015
840,20190718X15123,Accident,GAA19CA432,7/17/2019,"Ennis, MT",North America,44.421667,-111.528611,,N/A,Non-Fatal,Destroyed,Airplane,N137C,Aviat,A1,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Ortman James W (DBA: Northern Wings Aviation LLC),,,2,,VMC,MANEUVERING,Factual,1/8/2020,0.687238698
841,20190904X11028,Accident,ANC19LA049,7/17/2019,"Talkeetna, AK",North America,62.967223,-150.748889,,N/A,Non-Fatal,Substantial,Airplane,N121EE,Cessna,A185,No,,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Sheldon Air Service,,,,5,VMC,TAXI,Preliminary,9/11/2019,0.480748613
842,20190718X95411,Accident,ANC19LA036,7/17/2019,"Sequatchie, TN",North America,35.518611,-85.433611,,N/A,Non-Fatal,Substantial,Airplane,C-GAFT,Stoddard Hamilton,GLASAIR II,Yes,,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,CRUISE,Preliminary,8/1/2019,0.79344534
843,20190719X33831,Accident,WPR19LA192,7/18/2019,"Draper, UT",North America,40.526389,-111.831389,,N/A,Non-Fatal,Substantial,Airplane,N77YD,Judd,Challenger II,Yes,,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Preliminary,8/7/2019,0.929799033
844,20190722X32802,Accident,GAA19WA444,7/18/2019,"Leutasch, Austria, Austria",Europe,47.401944,11.119167,,,Fatal(1),Destroyed,Airplane,,CIRRUS,SR22,No,,,"Non-U.S., Non-Commercial",,,,1,,,,,CRUISE,Foreign,,0.136479866
845,20190718X21037,Accident,GAA19CA433,7/18/2019,"Laramie, WY",North America,41.311944,-105.675,LAR,Laramie Rgnl,Non-Fatal,Substantial,Airplane,N703DB,BRUMBAUGH DAVID R,DRB RAIDER,Yes,1,Reciprocating,Part 91: General Aviation,,Flight Test,,,,,1,VMC,LANDING,Probable Cause,12/2/2019,0.45186949
846,20190719X23022,Accident,WPR19TA193,7/19/2019,"Mesquite, NV",North America,36.8325,-114.057222,67L,Mesquite,Non-Fatal,Destroyed,Airplane,N320JT,Cessna,550,No,2,Turbo Jet,Part 91: General Aviation,,Ferry,,,,1,,VMC,LANDING,Preliminary,8/28/2019,0.48105021
847,20190721X34740,Accident,WPR19LA196,7/19/2019,"The Dalles, OR",North America,45.619445,-121.168334,DLS,Columbia Gorge Rgnl/The Dalles,Non-Fatal,Destroyed,Airplane,N8260Z,Cessna,210 5(205),No,,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Preliminary,8/7/2019,0.705004629
848,20190720X75839,Accident,GAA19CA450,7/19/2019,"Cove, OR",North America,45.354167,-117.633334,7OR0,Minam Lodge,Non-Fatal,Substantial,Airplane,N1330J,ROCKWELL,112A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,4,VMC,TAKEOFF,Probable Cause,12/2/2019,0.642119397
849,20190722X34241,Accident,GAA19CA445,7/19/2019,"Phoenix, AZ",North America,33.688333,-112.0825,DVT,Phoenix Deer Valley,Non-Fatal,Substantial,Airplane,N3276A,Cessna,170,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Factual,12/4/2019,0.518256962
850,20190719X64033,Accident,GAA19CA440,7/19/2019,"Denver, CO",North America,39.578611,-104.851111,APA,CENTENNIAL,Non-Fatal,Substantial,Airplane,N403FR,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,TAKEOFF,Probable Cause,12/2/2019,0.935338995
851,20190719X40236,Accident,ERA19TA233,7/19/2019,"Sanford, FL",North America,28.777223,-81.235,SFB,Orlando Sanford Intl,Non-Fatal,Substantial,Airplane,N386Q,Beech,95B55,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Preliminary,8/13/2019,0.209370319
852,20190719X40133,Accident,ERA19LA232,7/19/2019,"Ocean City, MD",North America,38.314444,-75.127778,OXB,Ocean City Muni,Non-Fatal,Substantial,Airplane,N849GS,VANS,RV7,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,LANDING,Factual,11/14/2019,0.599855007
853,20190719X55851,Accident,ERA19LA231,7/19/2019,"Poughkeepsie, NY",North America,41.626667,-73.884166,POU,Dutchess County,Non-Fatal,Substantial,Airplane,N811SK,Piper,PA46,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,3,1,,VMC,CRUISE,Preliminary,8/5/2019,0.409402991
854,20190721X02950,Accident,ANC19FA035,7/19/2019,"Homer, AK",North America,59.469167,-151.489166,,N/A,Fatal(1),Substantial,Airplane,N68083,De Havilland,BEAVER DHC 2 MK.1,No,,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Rusts Flying Service,1,1,4,1,VMC,TAKEOFF,Preliminary,7/30/2019,0.450329896
855,20190721X40249,Accident,WPR19LA201,7/20/2019,"King City, CA",North America,36.228334,-121.121389,KKIC,Mesa Del Rey,Non-Fatal,Substantial,Airplane,N3268C,Cessna,R182,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Preliminary,8/28/2019,0.709656698
857,20190720X80210,Accident,WPR19CA197,7/20/2019,"Yellow Pine, ID",North America,44.883889,-115.7075,I92,Reed Ranch,Non-Fatal,Substantial,Airplane,N777DV,Avid,AVID MAGNUM,Yes,1,,Part 91: General Aviation,,Personal,,,,1,,VMC,,Preliminary,8/6/2019,0.965015961
858,20190721X74952,Accident,GAA19CA446,7/20/2019,"Tracy, CA",North America,37.673056,-121.438055,TCY,Tracy Muni,Non-Fatal,Substantial,Airplane,N409EV,Evektor Aerotechnik,SPORTSTAR,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,CRUISE,Probable Cause,12/2/2019,0.159416918
859,20190720X64224,Accident,GAA19CA443,7/20/2019,"Jefferson City, MO",North America,38.591111,-92.156111,JEF,Jefferson City Memorial,Non-Fatal,Substantial,Airplane,N12ZT,VALLDEJULI JOHN A,AEROCOMP,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,1/15/2020,0.092101633
861,20190720X61321,Accident,CEN19CA227,7/20/2019,"Oshkosh, WI",North America,43.984444,-88.556667,OSH,Wittman Regional Airport,Non-Fatal,Substantial,Airplane,N143MS,Vans,RV-8,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Factual,11/6/2019,0.227186285
862,20190721X24746,Accident,ANC19TA037,7/20/2019,"Skwentna, AK",North America,61.687777,-151.400833,1AK8,TALAHEIM,Non-Fatal,Substantial,Airplane,N6PF,Piper,PA19,No,,Reciprocating,Part 91: General Aviation,,Personal,,,1,,1,VMC,LANDING,Preliminary,8/13/2019,0.782556683
863,20190722X15452,Accident,WPR19LA202,7/21/2019,"Port Townsend, WA",North America,48.051667,-122.801389,0S9,Jefferson County Intl,Non-Fatal,Substantial,Airplane,N3863L,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,2,1,VMC,LANDING,Preliminary,8/28/2019,0.304719463
865,20190724X23036,Accident,GAA19CA451,7/21/2019,"St. Louis, MO",North America,38.75,-90.374723,STL,ST LOUIS LAMBERT INTL,Non-Fatal,Substantial,Airplane,N300SN,Cessna,402,No,2,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,HYANNIS AIR SERVICE INC (DBA: Cape Air),,,,9,VMC,APPROACH,Probable Cause,12/2/2019,0.838912263
866,20190722X83356,Accident,CEN19LA232,7/21/2019,"Fredericksburg, TX",North America,30.335833,-98.839444,,N/A,Non-Fatal,Substantial,Airplane,N48410,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,,Factual,9/12/2019,0.863733013
867,20190722X93824,Accident,CEN19LA231,7/21/2019,"Breckenridge, MI",North America,43.484166,-84.484444,PVT,Private,Non-Fatal,Substantial,Airplane,N766BF,Ayres,S2R,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,TAKEOFF,Preliminary,9/5/2019,0.688406282
868,20190721X44924,Accident,CEN19LA230,7/21/2019,"Ida Grove, IA",North America,42.340833,-95.538055,,N/A,Non-Fatal,Substantial,Helicopter,N459TA,Robinson,R44,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,MANEUVERING,Preliminary,8/7/2019,0.633858659
869,20190721X51301,Accident,CEN19LA229,7/21/2019,"Houston, MO",North America,37.333334,-91.966667,M48,Houston Memorial Airport,Non-Fatal,Substantial,Airplane,N1831,Cessna,305A,No,,,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Preliminary,8/8/2019,0.706396823
873,20190723X91454,Accident,WPR19LA198,7/22/2019,"Madras, OR",North America,44.670278,-121.155278,S33,Madras Municipal,Non-Fatal,Substantial,Airplane,N3761L,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,2,1,,APPROACH,Preliminary,8/7/2019,0.439571643
875,20190723X90829,Accident,GAA19CA448,7/22/2019,"Van Nuys, CA",North America,34.209722,-118.49,VNY,Van Nuys,Non-Fatal,Substantial,Airplane,N737DW,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Aerial Observation,,,,,1,VMC,APPROACH,Factual,1/15/2020,0.005841301
876,20190726X83141,Accident,ERA19WA236,7/22/2019,"Gorgona Island, Italy",Europe,43.330834,9.856667,,,Fatal(2),Destroyed,Helicopter,,ROBINSON,R66,No,1,Turbo Shaft,"Non-U.S., Non-Commercial",,,,2,,,,UNK,UNKNOWN,Foreign,,0.329864281
877,20191001X40249,Incident,ENG19WA036,7/22/2019,"Islamabad, Pakistan",Asia,33.608889,73.103889,,,Incident,,Airplane,,AIRBUS,A330,No,2,Turbo Fan,"Non-U.S., Commercial",,,,,,,,,APPROACH,Foreign,,0.415239647
878,20190722X90218,Accident,CEN19LA233,7/22/2019,"Kingston, OK",North America,33.999166,-96.641944,,,Non-Fatal,Substantial,Airplane,N8251L,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,TAKEOFF,Preliminary,9/4/2019,0.695823987
879,20190722X23001,Accident,ANC19LA039,7/22/2019,"Boise, ID",North America,43.561111,-116.218334,BOI,Boise Air Terminal/Gowen Field,Non-Fatal,Substantial,Airplane,N7947Q,Cessna,402,No,2,Reciprocating,Part 91: General Aviation,,Business,,,,,3,VMC,LANDING,Preliminary,8/6/2019,0.146647091
881,20190726X75842,Accident,ANC19LA040,7/23/2019,"Farewell, AK",North America,62.4775,-153.519723,,N/A,Non-Fatal,Substantial,Airplane,N3934D,Cessna,182,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAKEOFF,Preliminary,8/13/2019,0.205432856
882,20190729X94635,Incident,GAA19WA458,7/24/2019,"Sable Island, Canada",North America,43.891111,-60.2,,N/A,Incident,,Helicopter,,SIKORSKY,S92,No,,,"Non-U.S., Non-Commercial",,,,,,,13,,APPROACH,Foreign,,0.392380782
883,20190725X72151,Accident,GAA19CA463,7/24/2019,"Springfield, TN",North America,36.5325,-86.924167,M91,SPRINGFIELD ROBERTSON COUNTY,Non-Fatal,Substantial,Helicopter,N269RR,Hughes,269A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAXI,Probable Cause,12/2/2019,0.308111367
884,20190725X01606,Accident,GAA19CA454,7/24/2019,"Deshler, NE",North America,40.167223,-97.714722,,N/A,Non-Fatal,Substantial,Airplane,N3367J,Cessna,T188,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,MANEUVERING,Probable Cause,12/2/2019,0.077180014
885,20190725X95527,Accident,GAA19CA453,7/24/2019,"STANTON, TX",North America,32.201389,-101.688611,,N/A,Non-Fatal,Substantial,Airplane,N15400,Air Tractor,AT 502,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,OTHER,Factual,12/4/2019,0.164456359
886,20190724X24816,Accident,GAA19CA452,7/24/2019,"Welsh, LA",North America,30.202222,-92.775,,N/A,Non-Fatal,Substantial,Airplane,N1509E,Air Tractor,AT 502,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,MANEUVERING,Factual,1/15/2020,0.858425111
887,20190724X13531,Accident,ERA19FA234,7/24/2019,"Americus, GA",North America,32.136111,-84.194444,ACJ,Jimmy Carter Rgnl,Fatal(2),Destroyed,Airplane,N921CD,Cirrus,SR22,No,,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,IMC,TAKEOFF,Preliminary,8/5/2019,0.903764634
889,20190724X83313,Accident,CEN19FA236,7/24/2019,"Chadron, NE",North America,42.850278,-103.085,CDR,Chadron Muni,Fatal(3),Substantial,Airplane,N8910U,Beech,95B55,No,2,Reciprocating,Part 91: General Aviation,,Personal,,3,,,,VMC,APPROACH,Preliminary,7/30/2019,0.496041803
890,20190727X50530,Accident,CEN19CA237,7/24/2019,"Oshkosh, WI",North America,43.991389,-88.56,OSH,Wittman Rgnl,Non-Fatal,Substantial,Airplane,N7976A,North American,AT 6F,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.078558755
891,20190725X80319,Accident,ERA19TA235,7/25/2019,"Wakefield, VA",North America,36.981111,-77.003056,AKQ,Wakefield Municipal Airport,Non-Fatal,Substantial,Airplane,N47028,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,1/2/2020,0.880136874
892,20190725X92749,Accident,ERA19LA238,7/25/2019,"Cuthbert, GA",North America,31.605,-84.825,,N/A,Non-Fatal,Substantial,Airplane,N5680X,AERO COMMANDER,S2R,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,,,,1,,CRUISE,Preliminary,8/16/2019,0.044012086
894,20190729X90946,Accident,CEN19LA243,7/25/2019,"Viroqua, WI",North America,43.556944,-90.888611,,N/A,Non-Fatal,Substantial,Airplane,N29272,Culver,LCA,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,CRUISE,Preliminary,8/27/2019,0.687729934
895,20190726X34250,Accident,WPR19LA226,7/26/2019,"Fall City, WA",North America,47.559444,-121.863611,1WA6,Fall City,Non-Fatal,Substantial,Airplane,N1828Q,Cessna,177RG,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,2,,VMC,LANDING,Preliminary,8/28/2019,0.178529181
896,20190729X40339,Accident,GAA19CA469,7/26/2019,"Wurtsboro, NY",North America,41.597222,-74.458333,N82,Wurtsboro-Sullivan County,Non-Fatal,Substantial,Glider,N57LK,Schempp Hirth,VENTUS 2A,No,0,,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,1/8/2020,0.396381472
898,20190728X21500,Accident,CEN19LA241,7/26/2019,"Mitchell, SD",North America,43.774723,-98.038611,MHE,Mitchell Municipal,Non-Fatal,Substantial,Airplane,N98PW,Stoddard-Hamilton,GlaStar,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,9/27/2019,0.365750776
900,20190730X15341,Accident,WPR19LA205,7/27/2019,"Eugene, OR",North America,44.121389,-123.207222,EUG,Mahlon Sweet Field Airport,Non-Fatal,Substantial,Helicopter,N438RC,Md Helicopter,369,No,,,Part 91: General Aviation,,Other Work Use,,,2,,,VMC,APPROACH,Preliminary,9/9/2019,0.191087062
901,20190819X35614,Accident,GAA19CA500,7/27/2019,"Tok, AK",North America,63.329445,-142.951944,6K8,TOK JUNCTION,Non-Fatal,Substantial,Airplane,N82253,Piper,PA18,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Factual,10/23/2019,0.797924106
902,20190803X85650,Accident,GAA19CA479,7/27/2019,"Mackay, ID",North America,43.853333,-113.512778,,N/A,Non-Fatal,Substantial,Glider,N274JM,Schleicher,ASW 27,No,0,,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,12/2/2019,0.722065039
